physician_id,npi,first_name,last_name,specialty,territory_id,city,state,years_in_practice,medical_school,total_trx_2024,total_trx_2023,yoy_growth_pct,brand_trx,brand_share_pct,volume_decile,growth_decile,brand_decile,composite_score,tier,opportunity_score,priority_bucket,rank_in_terr
PH-0001,1838425135,Justin,Kim,Pulmonology,T-028,Cherylhaven,AL,7,"Montoya, Evans and Alvarado Medical School",17.0,13.0,30.76923076923077,11.0,64.70588235294117,5,8,10,7.4,Gold,9.0,B (Grow - Bi-weekly),11.0
PH-0002,2411824493,Jennifer,Harris,Geriatrics,T-012,Williamview,MH,34,Davis Group Medical School,1.0,8.0,-87.5,0.0,0.0,1,1,1,1.0,Bronze,1.0,D (Monitor - Quarterly),48.0
PH-0003,4005242786,Ann,Rodriguez,Cardiology,T-023,New Barry,MN,24,"Tran, Jordan and Williams Medical School",1475.0,1472.0,0.2038043478260869,657.0,44.54237288135594,10,6,9,8.5,Platinum,7.5,A (Protect - Weekly),2.0
PH-0004,5053315869,Kara,Frost,Pulmonology,T-040,Port Francisco,AS,22,Keith Inc Medical School,87.0,76.0,14.473684210526317,17.0,19.54022988505747,9,7,4,6.9,Silver,5.5,C (Retain - Monthly),18.0
PH-0005,2563421607,Jeffrey,Velasquez,Emergency Medicine,T-001,Baileybury,IN,35,Keller Group Medical School,4.0,11.0,-63.63636363636363,4.0,100.0,2,1,10,4.1,Bronze,5.5,D (Monitor - Quarterly),47.0
PH-0006,5414586850,Darrell,Waller,Cardiology,T-014,New Sydney,KS,3,Rodriguez Group Medical School,1.0,2.0,-50.0,1.0,100.0,1,1,10,3.7,Bronze,5.5,D (Monitor - Quarterly),29.0
PH-0007,5569816934,Bradley,Graham,Hematology,T-026,West Ryan,TN,14,Hanson-Alvarado Medical School,0.0,0.0,0.0,0.0,0.0,1,5,1,2.2,Bronze,3.0,D (Monitor - Quarterly),54.0
PH-0008,1484656482,James,Ortega,Family Practice,T-009,Byrdburgh,RI,15,"Turner, Kelley and Smith Medical School",1.0,3.0,-66.66666666666666,0.0,0.0,1,1,1,1.0,Bronze,1.0,D (Monitor - Quarterly),54.0
PH-0009,4369957773,William,Leon,Family Practice,T-013,Lake Christopher,NY,32,"Schultz, Rogers and Cardenas Medical School",30.0,37.0,-18.91891891891892,11.0,36.66666666666666,6,3,7,5.4,Bronze,5.0,D (Monitor - Quarterly),34.0
PH-0010,3433200379,Melissa,Jones,Neurology,T-032,Mercadoshire,ID,4,"Horton, Snyder and Sanchez Medical School",187.0,249.0,-24.89959839357429,53.0,28.34224598930481,10,3,6,6.7,Silver,4.5,C (Retain - Monthly),24.0
PH-0011,163287083,Samantha,Martinez,Emergency Medicine,T-023,Port Steven,NC,39,"Larson, Dodson and Vance Medical School",18.0,21.0,-14.285714285714285,4.0,22.22222222222222,5,3,4,4.1,Bronze,3.5,D (Monitor - Quarterly),58.0
PH-0012,9868727743,Mary,Ramirez,Family Practice,T-029,Simsview,NV,36,Reeves and Sons Medical School,134.0,110.0,21.818181818181817,43.0,32.08955223880597,9,8,6,7.8,Gold,7.0,A (Protect - Weekly),8.0
PH-0013,4558122362,Jasmine,Brown,Hospitalist,T-007,Riveramouth,MT,22,Clark Group Medical School,19.0,10.0,90.0,6.0,31.57894736842105,5,10,6,6.8,Silver,8.0,B (Grow - Bi-weekly),13.0
PH-0014,6909670546,Melissa,Ashley,Emergency Medicine,T-006,Medinaside,AS,28,"Hurst, Freeman and Nelson Medical School",47.0,59.0,-20.33898305084746,8.0,17.02127659574468,7,3,3,4.6,Bronze,3.0,C (Retain - Monthly),39.0
PH-0015,7065627298,Anthony,Long,Oncology,T-020,North Dawnberg,VI,30,White-Green Medical School,46.0,57.0,-19.29824561403509,12.0,26.08695652173913,7,3,5,5.2,Bronze,4.0,C (Retain - Monthly),33.0
PH-0016,5375564641,Thomas,Curry,Emergency Medicine,T-028,West Jeffreyland,WI,25,"Williams, Johnson and Wright Medical School",2.0,4.0,-50.0,0.0,0.0,2,1,1,1.4,Bronze,1.0,D (Monitor - Quarterly),56.0
PH-0017,923271937,Holly,Wang,Internal Medicine,T-033,New Catherine,WA,1,"Wilson, Weiss and Oconnell Medical School",14.0,10.0,40.0,4.0,28.57142857142857,4,9,6,6.1,Silver,7.5,B (Grow - Bi-weekly),24.0
PH-0018,1904966319,Hannah,Burton,Internal Medicine,T-013,Lake Kendraville,WY,3,"Patton, Reed and Patterson Medical School",51.0,45.0,13.333333333333334,14.0,27.450980392156865,8,7,5,6.800000000000001,Silver,6.0,A (Protect - Weekly),18.0
PH-0019,5185067165,Cynthia,Poole,Cardiology,T-008,South Gregory,NC,27,"Nelson, Morton and Medina Medical School",4.0,0.0,0.0,0.0,0.0,2,5,1,2.6,Bronze,3.0,D (Monitor - Quarterly),52.0
PH-0020,7769453147,John,Marshall,Family Practice,T-037,Rogersfort,PR,33,White-Lewis Medical School,11.0,15.0,-26.666666666666668,4.0,36.36363636363637,4,2,7,4.300000000000001,Bronze,4.5,D (Monitor - Quarterly),39.0
PH-0021,4549480831,John,Russell,Cardiology,T-024,Lake Thomas,VT,15,West-Smith Medical School,20.0,50.0,-60.0,4.0,20.0,5,1,4,3.5,Bronze,2.5,D (Monitor - Quarterly),46.0
PH-0022,4363495788,Maurice,Barajas,Internal Medicine,T-032,Michaelmouth,KY,32,King-Martinez Medical School,3772.0,3816.0,-1.1530398322851152,1390.0,36.85047720042417,10,5,7,7.6,Gold,6.0,A (Protect - Weekly),7.0
PH-0023,3518233749,Tiffany,Warren,Nephrology,T-012,Tinaborough,LA,39,Ward LLC Medical School,15.0,13.0,15.384615384615383,2.0,13.333333333333334,5,8,3,5.300000000000001,Bronze,5.5,D (Monitor - Quarterly),27.0
PH-0024,824008427,Curtis,Smith,Family Practice,T-037,Taylormouth,MA,17,Sheppard LLC Medical School,100.0,92.0,8.695652173913043,41.0,41.0,9,7,8,8.1,Platinum,7.5,A (Protect - Weekly),4.0
PH-0025,7116719022,Lisa,Avery,Internal Medicine,T-002,East Davidchester,PA,2,"Gibbs, Perez and Mills Medical School",23.0,14.0,64.28571428571429,12.0,52.17391304347826,6,9,9,7.799999999999999,Gold,9.0,B (Grow - Bi-weekly),11.0
PH-0026,7749649909,Susan,Garcia,Family Practice,T-023,Lake Jason,TN,37,Moore and Sons Medical School,115.0,71.0,61.97183098591549,44.0,38.26086956521739,9,9,8,8.7,Platinum,8.5,A (Protect - Weekly),1.0
PH-0027,8120679740,Jesse,Mann,Family Practice,T-001,Jonesbury,KS,19,"Lawrence, Lara and Gonzalez Medical School",47.0,34.0,38.23529411764706,18.0,38.297872340425535,7,9,8,7.9,Platinum,8.5,A (Protect - Weekly),6.0
PH-0028,1832421024,Brooke,Holloway,Pulmonology,T-026,Scottmouth,UT,32,Lyons-Bender Medical School,123.0,159.0,-22.641509433962263,23.0,18.69918699186992,9,3,4,5.7,Bronze,3.5,C (Retain - Monthly),36.0
PH-0029,8877190659,John,Davis,Nephrology,T-004,Port Emilyview,OK,11,Hines and Sons Medical School,21.0,7.0,200.0,10.0,47.61904761904761,5,10,9,7.699999999999999,Gold,9.5,B (Grow - Bi-weekly),10.0
PH-0030,7874296717,Michael,Cook,Family Practice,T-017,Port Eugenechester,UT,38,Roberts-Landry Medical School,30.0,45.0,-33.33333333333333,9.0,30.0,6,2,6,4.800000000000001,Bronze,4.0,D (Monitor - Quarterly),48.0
PH-0031,8071545168,Mallory,Smith,Family Practice,T-034,Gutierrezborough,NC,6,Dean-Jimenez Medical School,43.0,47.0,-8.51063829787234,16.0,37.2093023255814,7,4,7,6.1,Silver,5.5,C (Retain - Monthly),30.0
PH-0032,7034824771,Anthony,Mccoy,Family Practice,T-016,Lake Eric,OH,33,Tran Inc Medical School,17.0,21.0,-19.047619047619047,7.0,41.17647058823529,5,3,8,5.3,Bronze,5.5,D (Monitor - Quarterly),20.0
PH-0033,3171274846,Mary,Baird,Internal Medicine,T-006,South Andrea,MS,16,Weeks PLC Medical School,1.0,5.0,-80.0,0.0,0.0,1,1,1,1.0,Bronze,1.0,D (Monitor - Quarterly),52.0
PH-0034,2146584044,Mary,Carpenter,Cardiology,T-020,Grimesmouth,ND,36,Reed-Arnold Medical School,0.0,0.0,0.0,0.0,0.0,1,5,1,2.2,Bronze,3.0,D (Monitor - Quarterly),53.0
PH-0035,8675339636,Bradley,Garner,Cardiology,T-003,Hughesberg,NM,19,Martinez PLC Medical School,0.0,0.0,0.0,0.0,0.0,1,5,1,2.2,Bronze,3.0,D (Monitor - Quarterly),45.0
PH-0036,5171870262,Charles,Harrington,Family Practice,T-007,Matthewfurt,SD,33,Christian Ltd Medical School,149.0,163.0,-8.588957055214724,60.0,40.26845637583892,9,4,8,7.199999999999999,Gold,6.0,A (Protect - Weekly),9.0
PH-0037,8657809134,Wendy,Francis,Family Practice,T-039,Goodville,NV,18,Benson Inc Medical School,8.0,9.0,-11.11111111111111,0.0,0.0,3,4,1,2.7,Bronze,2.5,D (Monitor - Quarterly),41.0
PH-0038,504556238,Robert,Maldonado,Oncology,T-011,East Gregory,RI,28,Harvey-Allen Medical School,5.0,5.0,0.0,2.0,40.0,2,5,8,4.699999999999999,Bronze,6.5,B (Grow - Bi-weekly),35.0
PH-0039,9237474074,Erica,Moore,Rheumatology,T-023,Landryshire,ME,31,"Hayden, Vaughn and Bryant Medical School",57.0,53.0,7.547169811320755,17.0,29.82456140350877,8,7,6,7.1000000000000005,Gold,6.5,A (Protect - Weekly),18.0
PH-0040,4367136959,Kenneth,Lyons,Geriatrics,T-035,Port Dominiqueview,AL,7,"Grimes, Osborne and Beltran Medical School",10.0,9.0,11.11111111111111,0.0,0.0,4,7,1,4.0,Bronze,4.0,D (Monitor - Quarterly),46.0
PH-0041,9743953394,Erica,Le,Pulmonology,T-026,Lake Colton,SC,2,"Williams, Kramer and Johnson Medical School",17.0,21.0,-19.047619047619047,2.0,11.76470588235294,5,3,3,3.8,Bronze,3.0,D (Monitor - Quarterly),47.0
PH-0042,5214562328,Nancy,Diaz,General Practice,T-012,Mariaview,PW,5,Coffey-Phillips Medical School,2.0,5.0,-60.0,0.0,0.0,2,1,1,1.4,Bronze,1.0,D (Monitor - Quarterly),46.0
PH-0043,5171236851,Krystal,Smith,Emergency Medicine,T-009,South Miguelview,OR,35,Carson-Bentley Medical School,376.0,379.0,-0.79155672823219,102.0,27.127659574468083,10,5,5,7.0,Gold,5.0,C (Retain - Monthly),10.0
PH-0044,1370985931,Cynthia,Marshall,Gastroenterology,T-016,Debraville,DC,3,Shah LLC Medical School,98.0,105.0,-6.666666666666667,29.0,29.59183673469388,9,4,6,6.6,Silver,5.0,C (Retain - Monthly),13.0
PH-0045,7113826758,Robert,Newton,Geriatrics,T-033,South Diana,MP,24,Gilbert-Crosby Medical School,118.0,113.0,4.424778761061947,23.0,19.491525423728813,9,7,4,6.9,Silver,5.5,C (Retain - Monthly),10.0
PH-0046,4053773515,Amy,Levine,Geriatrics,T-008,Bruceview,ID,36,Rush Group Medical School,12.0,14.0,-14.285714285714285,3.0,25.0,4,3,5,4.0,Bronze,4.0,D (Monitor - Quarterly),41.0
PH-0047,1390053293,Casey,Hubbard,Emergency Medicine,T-020,New Jason,VI,35,Murphy and Sons Medical School,46.0,72.0,-36.11111111111111,9.0,19.565217391304348,7,2,4,4.6000000000000005,Bronze,3.0,C (Retain - Monthly),40.0
PH-0048,9042284210,David,Howard,Family Practice,T-025,New Mario,HI,35,Williams-Harmon Medical School,4.0,2.0,100.0,1.0,25.0,2,10,5,5.3,Bronze,7.5,B (Grow - Bi-weekly),29.0
PH-0049,8117758917,William,Dougherty,General Practice,T-018,Lake Kristahaven,ME,18,Schneider-Johnson Medical School,0.0,0.0,0.0,0.0,0.0,1,5,1,2.2,Bronze,3.0,D (Monitor - Quarterly),50.0
PH-0050,7661771159,Eddie,Martinez,Family Practice,T-035,Oscarhaven,LA,16,Wagner-Jordan Medical School,0.0,0.0,0.0,0.0,0.0,1,5,1,2.2,Bronze,3.0,D (Monitor - Quarterly),55.0
PH-0051,1836736576,Robert,Davis,General Practice,T-036,Edwardsview,MN,33,Mcdaniel Group Medical School,18.0,35.0,-48.57142857142857,5.0,27.77777777777778,5,1,5,3.8,Bronze,3.0,D (Monitor - Quarterly),43.0
PH-0052,1111615280,Brenda,Hoffman,Cardiology,T-014,Elizabethchester,MI,21,"Pugh, Henderson and Moon Medical School",21.0,29.0,-27.58620689655172,11.0,52.38095238095239,5,2,9,5.3,Bronze,5.5,D (Monitor - Quarterly),24.0
PH-0053,494519832,Diane,Walker,Internal Medicine,T-008,West Meganstad,DE,7,Andrews-Aguirre Medical School,30.0,22.0,36.36363636363637,14.0,46.66666666666666,6,9,9,7.799999999999999,Gold,9.0,B (Grow - Bi-weekly),6.0
PH-0054,8998094024,Jacqueline,Parker,Gastroenterology,T-033,Michaelburgh,VI,12,Knight Group Medical School,0.0,0.0,0.0,0.0,0.0,1,5,1,2.2,Bronze,3.0,D (Monitor - Quarterly),47.0
PH-0055,1201836675,Eric,Collins,Endocrinology,T-022,Kimberlyshire,PA,22,Ware and Sons Medical School,13.0,14.0,-7.142857142857142,4.0,30.76923076923077,4,4,6,4.6,Bronze,5.0,D (Monitor - Quarterly),37.0
