physician_id,npi,first_name,last_name,specialty,territory_id,city,state,years_in_practice,medical_school
PH-0001,1838425135,Justin,Kim,Pulmonology,T-028,Cherylhaven,AL,7,"Montoya, Evans and Alvarado Medical School"
PH-0002,2411824493,Jennifer,Harris,Geriatrics,T-012,Williamview,MH,34,Davis Group Medical School
PH-0003,4005242786,Ann,Rodriguez,Cardiology,T-023,New Barry,MN,24,"Tran, Jordan and Williams Medical School"
PH-0004,5053315869,Kara,Frost,Pulmonology,T-040,Port Francisco,AS,22,Keith Inc Medical School
PH-0005,2563421607,Jeffrey,Velasquez,Emergency Medicine,T-001,Baileybury,IN,35,Keller Group Medical School
PH-0006,5414586850,Darrell,Waller,Cardiology,T-014,New Sydney,KS,3,Rodriguez Group Medical School
PH-0007,5569816934,Bradley,Graham,Hematology,T-026,West Ryan,TN,14,Hanson-Alvarado Medical School
PH-0008,1484656482,James,Ortega,Family Practice,T-009,Byrdburgh,RI,15,"Turner, Kelley and Smith Medical School"
PH-0009,4369957773,William,Leon,Family Practice,T-013,Lake Christopher,NY,32,"Schultz, Rogers and Cardenas Medical School"
PH-0010,3433200379,Melissa,Jones,Neurology,T-032,Mercadoshire,ID,4,"Horton, Snyder and Sanchez Medical School"
PH-0011,0163287083,Samantha,Martinez,Emergency Medicine,T-023,Port Steven,NC,39,"Larson, Dodson and Vance Medical School"
PH-0012,9868727743,Mary,Ramirez,Family Practice,T-029,Simsview,NV,36,Reeves and Sons Medical School
PH-0013,4558122362,Jasmine,Brown,Hospitalist,T-007,Riveramouth,MT,22,Clark Group Medical School
PH-0014,6909670546,Melissa,Ashley,Emergency Medicine,T-006,Medinaside,AS,28,"Hurst, Freeman and Nelson Medical School"
PH-0015,7065627298,Anthony,Long,Oncology,T-020,North Dawnberg,VI,30,White-Green Medical School
PH-0016,5375564641,Thomas,Curry,Emergency Medicine,T-028,West Jeffreyland,WI,25,"Williams, Johnson and Wright Medical School"
PH-0017,0923271937,Holly,Wang,Internal Medicine,T-033,New Catherine,WA,1,"Wilson, Weiss and Oconnell Medical School"
PH-0018,1904966319,Hannah,Burton,Internal Medicine,T-013,Lake Kendraville,WY,3,"Patton, Reed and Patterson Medical School"
PH-0019,5185067165,Cynthia,Poole,Cardiology,T-008,South Gregory,NC,27,"Nelson, Morton and Medina Medical School"
PH-0020,7769453147,John,Marshall,Family Practice,T-037,Rogersfort,PR,33,White-Lewis Medical School
PH-0021,4549480831,John,Russell,Cardiology,T-024,Lake Thomas,VT,15,West-Smith Medical School
PH-0022,4363495788,Maurice,Barajas,Internal Medicine,T-032,Michaelmouth,KY,32,King-Martinez Medical School
PH-0023,3518233749,Tiffany,Warren,Nephrology,T-012,Tinaborough,LA,39,Ward LLC Medical School
PH-0024,0824008427,Curtis,Smith,Family Practice,T-037,Taylormouth,MA,17,Sheppard LLC Medical School
PH-0025,7116719022,Lisa,Avery,Internal Medicine,T-002,East Davidchester,PA,2,"Gibbs, Perez and Mills Medical School"
PH-0026,7749649909,Susan,Garcia,Family Practice,T-023,Lake Jason,TN,37,Moore and Sons Medical School
PH-0027,8120679740,Jesse,Mann,Family Practice,T-001,Jonesbury,KS,19,"Lawrence, Lara and Gonzalez Medical School"
PH-0028,1832421024,Brooke,Holloway,Pulmonology,T-026,Scottmouth,UT,32,Lyons-Bender Medical School
PH-0029,8877190659,John,Davis,Nephrology,T-004,Port Emilyview,OK,11,Hines and Sons Medical School
PH-0030,7874296717,Michael,Cook,Family Practice,T-017,Port Eugenechester,UT,38,Roberts-Landry Medical School
PH-0031,8071545168,Mallory,Smith,Family Practice,T-034,Gutierrezborough,NC,6,Dean-Jimenez Medical School
PH-0032,7034824771,Anthony,Mccoy,Family Practice,T-016,Lake Eric,OH,33,Tran Inc Medical School
PH-0033,3171274846,Mary,Baird,Internal Medicine,T-006,South Andrea,MS,16,Weeks PLC Medical School
PH-0034,2146584044,Mary,Carpenter,Cardiology,T-020,Grimesmouth,ND,36,Reed-Arnold Medical School
PH-0035,8675339636,Bradley,Garner,Cardiology,T-003,Hughesberg,NM,19,Martinez PLC Medical School
PH-0036,5171870262,Charles,Harrington,Family Practice,T-007,Matthewfurt,SD,33,Christian Ltd Medical School
PH-0037,8657809134,Wendy,Francis,Family Practice,T-039,Goodville,NV,18,Benson Inc Medical School
PH-0038,0504556238,Robert,Maldonado,Oncology,T-011,East Gregory,RI,28,Harvey-Allen Medical School
PH-0039,9237474074,Erica,Moore,Rheumatology,T-023,Landryshire,ME,31,"Hayden, Vaughn and Bryant Medical School"
PH-0040,4367136959,Kenneth,Lyons,Geriatrics,T-035,Port Dominiqueview,AL,7,"Grimes, Osborne and Beltran Medical School"
PH-0041,9743953394,Erica,Le,Pulmonology,T-026,Lake Colton,SC,2,"Williams, Kramer and Johnson Medical School"
PH-0042,5214562328,Nancy,Diaz,General Practice,T-012,Mariaview,PW,5,Coffey-Phillips Medical School
PH-0043,5171236851,Krystal,Smith,Emergency Medicine,T-009,South Miguelview,OR,35,Carson-Bentley Medical School
PH-0044,1370985931,Cynthia,Marshall,Gastroenterology,T-016,Debraville,DC,3,Shah LLC Medical School
PH-0045,7113826758,Robert,Newton,Geriatrics,T-033,South Diana,MP,24,Gilbert-Crosby Medical School
PH-0046,4053773515,Amy,Levine,Geriatrics,T-008,Bruceview,ID,36,Rush Group Medical School
PH-0047,1390053293,Casey,Hubbard,Emergency Medicine,T-020,New Jason,VI,35,Murphy and Sons Medical School
PH-0048,9042284210,David,Howard,Family Practice,T-025,New Mario,HI,35,Williams-Harmon Medical School
PH-0049,8117758917,William,Dougherty,General Practice,T-018,Lake Kristahaven,ME,18,Schneider-Johnson Medical School
PH-0050,7661771159,Eddie,Martinez,Family Practice,T-035,Oscarhaven,LA,16,Wagner-Jordan Medical School
PH-0051,1836736576,Robert,Davis,General Practice,T-036,Edwardsview,MN,33,Mcdaniel Group Medical School
PH-0052,1111615280,Brenda,Hoffman,Cardiology,T-014,Elizabethchester,MI,21,"Pugh, Henderson and Moon Medical School"
PH-0053,0494519832,Diane,Walker,Internal Medicine,T-008,West Meganstad,DE,7,Andrews-Aguirre Medical School
PH-0054,8998094024,Jacqueline,Parker,Gastroenterology,T-033,Michaelburgh,VI,12,Knight Group Medical School
PH-0055,1201836675,Eric,Collins,Endocrinology,T-022,Kimberlyshire,PA,22,Ware and Sons Medical School
PH-0056,2901476797,Robert,Lewis,Internal Medicine,T-038,West Russellport,TX,38,"Watkins, Rose and Parker Medical School"
PH-0057,3690034324,Keith,Wilson,Family Practice,T-008,Burgessburgh,DC,27,Patel-Hall Medical School
PH-0058,8516060715,Barbara,Berry,Family Practice,T-021,Robertsfurt,AK,30,Jackson-Meza Medical School
PH-0059,7516136968,Christian,Harrell,Neurology,T-033,Jeffreyburgh,CA,5,"Schultz, Schmidt and Lee Medical School"
